name,price,description,imageUrl,category_id
Sản phẩm Test Tải 1,458000,Mô tả sản phẩm sinh tự động số 1 cho Performance Test,https://placehold.co/300,1
Sản phẩm Test Tải 2,238000,Mô tả sản phẩm sinh tự động số 2 cho Performance Test,https://placehold.co/300,2
Sản phẩm Test Tải 3,84000,Mô tả sản phẩm sinh tự động số 3 cho Performance Test,https://placehold.co/300,3
Sản phẩm Test Tải 4,352000,Mô tả sản phẩm sinh tự động số 4 cho Performance Test,https://placehold.co/300,1
Sản phẩm Test Tải 5,367000,Mô tả sản phẩm sinh tự động số 5 cho Performance Test,https://placehold.co/300,2
Sản phẩm Test Tải 6,262000,Mô tả sản phẩm sinh tự động số 6 cho Performance Test,https://placehold.co/300,3
Sản phẩm Test Tải 7,32000,Mô tả sản phẩm sinh tự động số 7 cho Performance Test,https://placehold.co/300,2
Sản phẩm Test Tải 8,318000,Mô tả sản phẩm sinh tự động số 8 cho Performance Test,https://placehold.co/300,1
Sản phẩm Test Tải 9,47000,Mô tả sản phẩm sinh tự động số 9 cho Performance Test,https://placehold.co/300,2
Sản phẩm Test Tải 10,271000,Mô tả sản phẩm sinh tự động số 10 cho Performance Test,https://placehold.co/300,1
Sản phẩm Test Tải 11,458000,Mô tả sản phẩm sinh tự động số 11 cho Performance Test,https://placehold.co/300,3
Sản phẩm Test Tải 12,265000,Mô tả sản phẩm sinh tự động số 12 cho Performance Test,https://placehold.co/300,2
Sản phẩm Test Tải 13,417000,Mô tả sản phẩm sinh tự động số 13 cho Performance Test,https://placehold.co/300,2
Sản phẩm Test Tải 14,250000,Mô tả sản phẩm sinh tự động số 14 cho Performance Test,https://placehold.co/300,3
Sản phẩm Test Tải 15,301000,Mô tả sản phẩm sinh tự động số 15 cho Performance Test,https://placehold.co/300,1
Sản phẩm Test Tải 16,317000,Mô tả sản phẩm sinh tự động số 16 cho Performance Test,https://placehold.co/300,3
Sản phẩm Test Tải 17,479000,Mô tả sản phẩm sinh tự động số 17 cho Performance Test,https://placehold.co/300,3
